Today's Date ,Location ,Start Time,Time of Set Alarm,Snoozed until,Time I wanted to leave by,Left dorm at ,Got to there at ,Mode of transportation,Mood,
1/29/2024,Kenmore Classroom,9:05 AM,8:10 AM,8:30 AM,8:55 AM,8:59 AM,9:10 AM,walking ,,
1/30/2024,CGS,9:00 AM,8:10 AM,8:25 AM,8:50 AM,8:55 AM,9:07 AM,bus,,
1/31/2024,CDS,8:00 AM,7:00 AM,7:35 AM,7:50 AM,7:53 AM,8:02 AM,walking ,,
2/1/2024,CGS,9:00,8:10 AM,0,8:45 AM,8:50 AM,9:03 AM,walking ,,
2/2/2024,Kenmore Classroom,9:05,7:10 AM,0,8:50 AM,8:53 AM,9:05 AM,walking ,,
2/5/2024,Kenmore Classroom,9:05 AM,8:10 AM,8:30 AM,8:50 AM,8:55 AM,9:05 AM,walking ,,
2/6/2024,CGS,9:00 AM,8:10 AM,0,8:47 AM,8:52 AM,9:04 AM,walking ,,
2/7/2024,CDS,8:00 AM,7:00 AM,7:50 AM,7:55 AM,8:01 AM,8:10 AM,walking ,,
2/8/2024,CGS,9:00 AM,8:10 AM,8:20 AM,8:50 AM,9:00 AM,9:15 AM,walking ,,
2/9/2024,Kenmore Classroom,9:05 AM,8:10 AM,8:15 AM,8:55 AM,9:00 AM,9:10 AM,walking ,,
2/12/2024,Kenmore Classroom,0,0,0,0,0,0,skipped,,
2/13/2024,CGS,0,0,0,0,0,0,snow day ,,
2/14/2024,CDS,8:00 AM,7:00 AM,7:30 AM,7:50 AM,7:54 AM,8:04 AM,walking ,,
2/15/2024,CGS,9:00 AM,8:05 AM,8:36 AM,8:50 AM,8:53 AM,9:07 AM,walking ,,
2/16/2024,Kenmore Classroom,9:00 AM,0,0,0,0,0,skipped,,
2/19/2024,Kenmore Classroom,9:00 AM,0,0,0,0,0,President's Day,,
2/20/2024,CGS,9:00 AM,8:20 AM,8:30 AM,8:50 AM,8:52 AM,9:04 AM,walking ,,
2/21/2024,Kenmore Classroom,9:00 AM,0,0,0,0,0,skipped,,
2/22/2024,PHO,9:00 AM,8:15 AM,8:25 AM,8:55 AM,8:56 AM,9:00 AM,walking ,,
2/23/2024,Kenmore Classroom,9:05 AM,8:15 AM,8:30 AM,8:55 AM,9:02 AM,9:13 AM,walking ,,
2/26/2024,Kenmore Classroom,9:05 AM,8:15 AM,8:44 AM,8:55 AM,9:04 AM,9:14 AM,walking ,tired,
2/27/2024,PHO,9:00 AM,8:25 AM,8:45 AM,9:00 AM,9:03 AM,9:07 AM,walking ,tired,
2/28/2024,CDS,8:00 AM,7:00 AM,7:45 AM,8:05 AM,8:10 AM,8:18 AM,walking ,tired,
2/29/2024,PHO,9:00 AM,8:25 AM,8:50 AM,9:00 AM,9:13 AM,9:18 AM,walking ,so tired,
3/1/2024,Kenmore Classroom,9:05 AM,7:30 AM,12:00 AM,8:40 AM,8:42 AM,8:52 AM,walking ,tired,
3/4/2024,Kenmore Classroom,9:05 AM,8:10 AM,8:50 AM,9:00 AM,9:11 AM,9:20 AM,walking ,so tired,
3/5/2024,PHO,9:00 AM,8:25 AM,8:40 AM,8:55 AM,9:00 AM,9:04 AM,walking ,less tired ,
3/6/2024,CDS,8:00 AM,0,0,0,0,0,skipped ,refreshed,
3/7/2024,PHO,9:00 AM,8:25 AM,8:50 AM,9:00 AM,9:07 AM,9:12 AM,walking ,tired ,
3/8/2024,Kenmore Classroom,9:05 AM,8:25 AM,9:30 AM,0,0,0,skipped,tired,
3/18/2024,Kenmore Classroom,9:05 AM,8:25 AM,9:30 AM,0,0,0,skipped,crisis,
3/19/2024,PHO,9:00 AM,8:25 AM,9:00 AM,9:15 AM,9:15 AM,9:20 AM,walking ,tired,
3/20/2024,CDS,8:00 AM,7:25 AM,7:55 AM,8:15 AM,8:20 AM,8:30 AM,walking ,tired,
3/21/2024,PHO,9:00 AM,8:05 AM,8:40 AM,9:00 AM,9:07 AM,9:13 AM,walking ,tired,
3/22/2024,Kenmore Classroom,9:05 AM,8:00 AM,8:15 AM,8:50 AM,8:57 AM,9:10 AM,walking ,ok,
3/25/2024,Kenmore Classroom,9:05 AM,7:25 AM,8:45 AM,8:55 AM,9:02 AM,9:11 AM,walking ,tired,
3/26/2024,PHO,9:00 AM,8:25 AM,9:00 AM,9:15 AM,9:25 AM,9:31 AM,walking ,tired,
3/27/2024,CDS,8:00 AM,7:10 AM,7:50 AM,8:00 AM,8:10 AM,8:20 AM,walking ,tired ,
3/28/2024,PHO,9:00 AM,0,0,0,0,0,walking ,forgot ,
3/29/2024,Kenmore Classroom,9:05 AM,0,0,0,0,0,skipped,tired ,
4/1/2024,Kenmore Classroom,9:05 AM,0,0,0,0,0,skipped,tired,
4/2/2024,PHO,9:00 AM,8:10 AM,9:39 AM,10:15 AM,10:25 AM,10:30 AM,walking,refreshed,
4/3/2024,CDS,8:00 AM,7:00 AM,7:35 AM,7:55 AM,8:00 AM,8:07 AM,walking,tired,
4/4/2024,PHO,9:00 AM,8:05 AM,9:00 AM,9:20 AM,9:22 AM,9:30 AM,walking,tired,
4/5/2024,PHO,9:05 AM,8:10 AM,8:45 AM,9:10 AM,9:14 AM,9:24 AM,walking,tired,
4/8/2024,Kenmore Classroom,9:05 AM,8:10 AM,8:50 AM,8:55 AM,9:03 AM,9:14 AM,walking  ,tired ,
4/9/2024,PHO,9:00 AM,8:10 AM,8:20 AM,8:55 AM,9:02 AM,9:08 AM,walking,tired,
4/10/2024,CDS,8:00 AM,7:10 AM,0,7:50 AM,7:52 AM,8:02 AM,walking,tired,
4/11/2024,PHO,9:00 AM,8:20 AM,0,9:00 AM,9:10 AM,9:15 AM,walking,tired ,
4/12/2024,Kenmore Classroom,9:05 AM,7:30 AM,7:30 AM,8:30 AM,8:30 AM,8:45 AM,walking,tired,
4/16/2024,PHO,9:00 AM,8:10 AM,8:20 AM,8:55 AM,8:59 AM,9:04 AM,walking ,tired of people ,
4/17/2024,CDS,8:00 AM,7:00 AM,8:50 AM,9:00 AM,9:07 AM,9:08 AM,walking,skipped first class ,
4/18/2024,PHO,9:00 AM,,,,,,,,
4/19/2024,Kenmore Classroom,9:05 AM,,,,,,,forgot to log ,
4/22/2024,Kenmore Classroom,,,,,,,,forgot to log ,
4/23/2024,PHO,,,,,,,,went later,
4/24/2024,CDS,8:00 AM,7:00 AM,0,7:45 AM,7:49 AM,7:57 AM,walking ,tired a bit,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
